Values,AvgPrice
174792,46.79
730,29.98
3197014,3.54
1343,23141.01
2000,11.45
4505,242.48
189308,71.25
16759,211.95
385113,16.01
3000,41.5
14398,589.23
41142,1201.68
29443,26.63
32000,55.24
538214,88.6
106689,1451.28
7160,8015.98
1146982,119.68
345016,183.76
5631,4.15
48,18.95
22380,7.65
589965,1575.95
6691,1042.18
168576,103.15
6768299,136.71
757920,45.99
3424347,338.06
19034630,25.45
306381,171.93
22164,230.2
29724,2.74
13582,60.18
404923,24.16
5150,307.38
2249,25.76
11300,14.47
14760,45.11
98110,196.77
136121,200.41
29069,72.37
7714,249.96
9767,76.32
10291,70.13
14872,60.85
78000,32.68
801,260.85
1179,287.91
95,293.79
15336,1756.99
164539,431.25
6861,30.95
17500,63.8
102000,36.24
275687,1115.49
129703,177.41
2000,76.53
24000,33.5
2218,481.41
3225190,26.97
2887,1639.38
2186795,18.98
28423,620.36
4042749,37.47
7164,4.71
501104,44.33
3038,706.59
2969,61.71
16395,2068.94
1488,604.5
180270,107.99
3839,267.58
3872,32.86
1313600,3.37
17927,28.64
8055,576.52
42666,2.94
532443,782.77
2000,66.1
5965,931.32
783,1237.11
2420982,226.67
5267,20.49
15930,22.18
19529,261.14
421360,40.65
7095184,29.82
119673,7.01
204915,373.02
1147,2.36
4140,27.26
1394,0.55
150646,12.13
57640,11.83
13264,0.49
13492,594.89
622,135.96
5050,590.94
55578,357.26
24218,1410.3
203536,650.13
16610,129.68
668783,1044.58
2397083,229.63
61,1301.84
217393,174.02
13493,46.72
22326,26.14
213130,11.45
23719,100.56
101,33.41
26259,67.74
5329,357.46
10425,54
10050,119.45
8205,28.2
208569,38.26
19787,24.99
12000,20
2724729,351.84
12600,134.26
22216,330.52
3145,260.22
5502,51.44
48131,34.55
34008,135.61
42329,16.58
307034,114.14
11082330,121.04
127,200.17
1338324,1283.17
30649,206.11
4430,209.36
236268,3.55
19708,548.55
26694,158.72
54413,989.12
5747004,87.18
7726,1686.7
200404,126.04
4259,619.91
43262,30.88
3031,112
10907,3211.63
16550,339.47
441370,623.29
6000,22.57
15235,164.4
4947221,768.74
1801,56.6
14629,1322.29
90419,72.24
29616,47.33
515817,513.94
644550,410.95
2400,79.5
31597,28.7
