SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 26-Sep-2018,44.2,44.2,48.8,44.2,46.3,46.4,46.79,174792,81.78,1753,89722,51.33
21STCENMGM, EQ, 26-Sep-2018,30.55,29.95,31,29.95,29.95,29.95,29.98,730,0.22,12,649,88.9
3IINFOTECH, EQ, 26-Sep-2018,3.6,3.65,3.7,3.45,3.45,3.45,3.54,3197014,113.05,991,1704080,53.3
3MINDIA, EQ, 26-Sep-2018,23127,23312.05,23656.7,22802.1,22850,22879.1,23141.01,1343,310.78,795,899,66.94
3PLAND, BE, 26-Sep-2018,11.5,11.45,11.45,11.45,11.45,11.45,11.45,2000,0.23,1, -, -
5PAISA, EQ, 26-Sep-2018,238.75,248.95,248.95,230.05,248.6,244.95,242.48,4505,10.92,310,1664,36.94
63MOONS, EQ, 26-Sep-2018,72.05,71.1,73.05,69.4,70.1,70.3,71.25,189308,134.89,2255,100224,52.94
8KMILES, BE, 26-Sep-2018,223.1,211.95,211.95,211.95,211.95,211.95,211.95,16759,35.52,483, -, -
A2ZINFRA, EQ, 26-Sep-2018,16,16.6,16.6,15.7,15.8,15.8,16.01,385113,61.65,926,303077,78.7
AARON, SM, 26-Sep-2018,41,41.5,41.5,41.5,41.5,41.5,41.5,3000,1.25,1,3000,100
AARTIDRUGS, EQ, 26-Sep-2018,570.7,574.2,597.55,574.2,585,589.15,589.23,14398,84.84,865,9266,64.36
AARTIIND, EQ, 26-Sep-2018,1229.05,1249.7,1249.7,1186.25,1199.25,1198.45,1201.68,41142,494.4,3631,32293,78.49
AARVEEDEN, EQ, 26-Sep-2018,26.45,26.05,28.4,25.35,26.25,26.4,26.63,29443,7.84,160,10502,35.67
AARVI, SM, 26-Sep-2018,58,56.5,56.5,55.1,55.1,55.1,55.24,32000,17.68,16,26000,81.25
ABAN, EQ, 26-Sep-2018,88.15,89,92,87.2,87.9,88.2,88.6,538214,476.86,6784,157131,29.19
ABB, EQ, 26-Sep-2018,1429.05,1443.2,1470,1419.65,1440,1436,1451.28,106689,1548.36,10964,35831,33.58
ABBOTINDIA, EQ, 26-Sep-2018,8102.75,8168,8200,7864.45,7900,7934.95,8015.98,7160,573.94,2212,3198,44.66
ABCAPITAL, EQ, 26-Sep-2018,119.55,120.1,121.5,118.25,119.45,119.45,119.68,1146982,1372.75,12762,694697,60.57
ABFRL, EQ, 26-Sep-2018,182.55,184.1,188,180.1,184.7,184.4,183.76,345016,634.01,6361,115978,33.62
ABGSHIP, BZ, 26-Sep-2018,4.15,4.35,4.35,4.05,4.2,4.2,4.15,5631,0.23,34, -, -
ABMINTLTD, BE, 26-Sep-2018,18.95,18.95,18.95,18.95,18.95,18.95,18.95,48,0.01,2, -, -
ABSLRIF6RG, MF, 26-Sep-2018,8.5,7.7,7.7,7.65,7.65,7.65,7.65,22380,1.71,5,22380,100
ACC, EQ, 26-Sep-2018,1563.8,1570.8,1592.1,1550,1585.1,1582.15,1575.95,589965,9297.56,17716,227175,38.51
ACCELYA, EQ, 26-Sep-2018,1049.4,1049.4,1050,1035,1038,1040.4,1042.18,6691,69.73,505,5434,81.21
ACE, EQ, 26-Sep-2018,105.15,105.1,107.05,100.5,104.8,103.8,103.15,168576,173.89,2884,90588,53.74
ADANIENT, EQ, 26-Sep-2018,138.35,140.4,142.5,133.7,135.5,136.5,136.71,6768299,9252.72,31886,1270989,18.78
ADANIGREEN, EQ, 26-Sep-2018,44.55,46.45,46.75,44.6,45.3,45.2,45.99,757920,348.55,4251,358984,47.36
ADANIPORTS, EQ, 26-Sep-2018,337.95,340.5,344.9,330.6,338,338.55,338.06,3424347,11576.29,66899,1494324,43.64
ADANIPOWER, EQ, 26-Sep-2018,25,25.2,26.6,24.7,25.65,26,25.45,19034630,4844.96,19247,1257692,6.61
ADANITRANS, EQ, 26-Sep-2018,172.25,172.65,174.8,167.15,172.25,172.45,171.93,306381,526.76,8083,58921,19.23
ADFFOODS, EQ, 26-Sep-2018,231.3,232.4,234.55,228.35,231.15,231.75,230.2,22164,51.02,470,17398,78.5
ADHUNIK, BE, 26-Sep-2018,2.8,2.8,2.8,2.7,2.8,2.75,2.74,29724,0.81,50, -, -
ADHUNIKIND, EQ, 26-Sep-2018,63.7,61.25,64.55,58.5,60.5,60.5,60.18,13582,8.17,110,5431,39.99
ADLABS, EQ, 26-Sep-2018,22.95,23.55,25.4,23.4,23.7,23.7,24.16,404923,97.84,2317,209746,51.8
ADORWELD, EQ, 26-Sep-2018,301.85,304,324.95,301.05,324.95,317.15,307.38,5150,15.83,366,2915,56.6
ADROITINFO, BE, 26-Sep-2018,27.1,26.1,26.1,25.75,25.75,25.75,25.76,2249,0.58,12, -, -
ADSL, EQ, 26-Sep-2018,14.55,14.85,15.3,14.15,14.2,14.25,14.47,11300,1.64,76,7408,65.56
ADVANIHOTR, EQ, 26-Sep-2018,44.75,45.25,46.25,44.95,45.05,45.8,45.11,14760,6.66,73,14204,96.23
ADVENZYMES, EQ, 26-Sep-2018,198.15,201,201.85,194,194.5,194.65,196.77,98110,193.06,2754,59092,60.23
AEGISCHEM, EQ, 26-Sep-2018,202.35,203.55,205.6,196,199.15,199.75,200.41,136121,272.8,8702,91713,67.38
AFL, EQ, 26-Sep-2018,71.85,72,74.55,70.55,73,72.6,72.37,29069,21.04,292,18749,64.5
AGARIND, EQ, 26-Sep-2018,246.25,239.15,254,239.15,254,250.1,249.96,7714,19.28,34,7606,98.6
AGCNET, EQ, 26-Sep-2018,78,78,78.15,74.05,74.05,74.55,76.32,9767,7.45,117,8807,90.17
AGLSL, EQ, 26-Sep-2018,70.95,71,73,68.45,73,72.85,70.13,10291,7.22,40,7029,68.3
AGRITECH, EQ, 26-Sep-2018,58.35,58.95,62,58.5,61.45,61.25,60.85,14872,9.05,290,7711,51.85
AGROPHOS, SM, 26-Sep-2018,32.95,32,33,32,33,32.65,32.68,78000,25.49,11,54000,69.23
AHLEAST, EQ, 26-Sep-2018,259.35,260,266,258,266,259.55,260.85,801,2.09,37,545,68.04
AHLUCONT, EQ, 26-Sep-2018,287.65,294.75,294.75,283.25,284,284.4,287.91,1179,3.39,144,1027,87.11
AHLWEST, EQ, 26-Sep-2018,290,290.05,297.95,290.05,297.95,297.95,293.79,95,0.28,4,95,100
AIAENG, EQ, 26-Sep-2018,1738.45,1740,1789,1737,1759.85,1763.35,1756.99,15336,269.45,2747,10667,69.56
